latitude,longitude,mac,acctupdatetime,peso
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 21:00:00,8
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 22:00:00,20
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 23:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-04 00:00:00,9
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-04 01:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-04 12:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-04 15:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-04 16:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-04 17:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-04 18:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-04 19:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-04 20:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-04 21:00:00,16
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-04 22:00:00,9
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-04 23:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-05 00:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-05 01:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-05 14:00:00,9
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-05 15:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-05 16:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-05 17:00:00,15
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-05 18:00:00,20
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-05 19:00:00,17
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-05 20:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-05 21:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-05 22:00:00,7
